Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-09-29 00:00:00+07:00,301.8839111328125,304.8148270266953,284.2984370663715,301.8839111328125,76180670,0.0,0.0
2005-09-30 00:00:00+07:00,319.4693603515625,319.4693603515625,301.8838876528846,319.4693603515625,105493978,0.0,0.0
2005-10-03 00:00:00+07:00,328.2621154785156,331.19303140717057,307.74574657164345,328.2621154785156,59712955,0.0,0.0
2005-10-04 00:00:00+07:00,331.1929931640625,337.05482434450215,325.3311832804764,331.1929931640625,56236668,0.0,0.0
2005-10-05 00:00:00+07:00,337.0548400878906,337.0548400878906,325.331198476269,337.0548400878906,31319315,0.0,0.0
2005-10-06 00:00:00+07:00,325.3312072753906,337.05484920409754,322.4002914690001,325.3312072753906,8107366,0.0,0.0
2005-10-07 00:00:00+07:00,328.2621154785156,328.2621154785156,319.469388989407,328.2621154785156,6577562,0.0,0.0
2005-10-10 00:00:00+07:00,325.3312072753906,328.26210178492596,319.46937566260954,325.3312072753906,23223854,0.0,0.0
2005-10-11 00:00:00+07:00,325.3312072753906,325.3312072753906,322.4002914690001,325.3312072753906,13497395,0.0,0.0
2005-10-12 00:00:00+07:00,328.2621154785156,331.19303140717057,325.3312208467168,328.2621154785156,29804392,0.0,0.0
2005-10-13 00:00:00+07:00,331.1929931640625,331.1929931640625,328.26207757384265,331.1929931640625,12738446,0.0,0.0
2005-10-14 00:00:00+07:00,331.1929931640625,331.1929931640625,328.26207757384265,331.1929931640625,12018188,0.0,0.0
2005-10-17 00:00:00+07:00,331.1929931640625,331.1929931640625,331.1929931640625,331.1929931640625,0,0.0,0.0
2005-10-18 00:00:00+07:00,328.2621154785156,331.19303140717057,328.2621154785156,328.2621154785156,12110452,0.0,0.0
2005-10-19 00:00:00+07:00,322.4002685546875,328.26207845399045,322.4002685546875,322.4002685546875,5631107,0.0,0.0
2005-10-20 00:00:00+07:00,322.4002685546875,322.4002685546875,322.4002685546875,322.4002685546875,0,0.0,0.0
2005-10-21 00:00:00+07:00,322.4002685546875,322.4002685546875,322.4002685546875,322.4002685546875,3038774,0.0,0.0
2005-10-24 00:00:00+07:00,313.6075134277344,322.40025998834136,310.67661920438513,313.6075134277344,10875299,0.0,0.0
2005-10-25 00:00:00+07:00,313.6075134277344,313.6075134277344,313.6075134277344,313.6075134277344,0,0.0,0.0
2005-10-26 00:00:00+07:00,316.5384521484375,319.4693678834596,313.6075364134154,316.5384521484375,14298013,0.0,0.0
2005-10-27 00:00:00+07:00,307.7456970214844,319.46933755162365,307.7456970214844,307.7456970214844,16018298,0.0,0.0
2005-10-28 00:00:00+07:00,298.9529724121094,304.81480375228966,298.9529724121094,298.9529724121094,15390305,0.0,0.0
2005-10-31 00:00:00+07:00,301.8839111328125,301.8839111328125,296.0221006419027,301.8839111328125,25104858,0.0,0.0
2005-11-01 00:00:00+07:00,298.9529724121094,301.8838880821995,298.9529724121094,298.9529724121094,35012869,0.0,0.0
2005-11-07 00:00:00+07:00,298.9529724121094,298.9529724121094,298.9529724121094,298.9529724121094,0,0.0,0.0
2005-11-08 00:00:00+07:00,298.9529724121094,298.9529724121094,298.9529724121094,298.9529724121094,0,0.0,0.0
2005-11-09 00:00:00+07:00,298.9529724121094,298.9529724121094,298.9529724121094,298.9529724121094,0,0.0,0.0
2005-11-10 00:00:00+07:00,293.0911560058594,301.88388152838803,293.0911560058594,293.0911560058594,25747733,0.0,0.0
2005-11-11 00:00:00+07:00,287.2293701171875,296.0221183240489,287.2293701171875,287.2293701171875,12366412,0.0,0.0
2005-11-14 00:00:00+07:00,287.2293701171875,290.1602861861413,284.29845404823374,287.2293701171875,7637115,0.0,0.0
2005-11-15 00:00:00+07:00,281.3674621582031,290.16020799565246,281.3674621582031,281.3674621582031,33515804,0.0,0.0
2005-11-16 00:00:00+07:00,284.2984313964844,284.2984313964844,278.43662102247924,284.2984313964844,22512525,0.0,0.0
2005-11-17 00:00:00+07:00,281.3674621582031,284.2983774373529,278.4365681759047,281.3674621582031,9684790,0.0,0.0
2005-11-18 00:00:00+07:00,284.2984313964844,287.2293472319147,284.2984313964844,284.2984313964844,41161848,0.0,0.0
2005-11-21 00:00:00+07:00,293.0911560058594,293.0911560058594,287.22932479293775,293.0911560058594,80606388,0.0,0.0
2005-11-22 00:00:00+07:00,304.8147888183594,304.8147888183594,293.09114800923476,304.8147888183594,94172238,0.0,0.0
2005-11-23 00:00:00+07:00,304.8147888183594,307.74570434485383,301.8838732918649,304.8147888183594,68745942,0.0,0.0
